ANNA
MARIA
ZOFIA
KATARZYNA
MAŁGORZATA
KRYSTYNA
BARBARA
AGNIESZKA
JANINA
EWA
ELŻBIETA
HELENA
TERESA
JADWIGA
MAGDALENA
JOANNA
MARIANNA
ALEKSANDRA
IRENA
MONIKA
DANUTA
STANISŁAWA
HALINA
MARTA
NATALIA
JULIA
KAROLINA
BEATA
DOROTA
ALICJA
GRAŻYNA
JOLANTA
IWONA
WIKTORIA
PAULINA
BOŻENA
URSZULA
JUSTYNA
ZUZANNA
RENATA
HANNA
EMILIA
AGATA
WANDA
WERONIKA
SYLWIA
JÓZEFA
STEFANIA
GENOWEFA
PATRYCJA
IZABELA
MAJA
WŁADYSŁAWA
ANETA
KAZIMIERA
EWELINA
OLIWIA
MARTYNA
KLAUDIA
GABRIELA
WIESŁAWA
MARZENA
DOMINIKA
KINGA
EDYTA
LENA
ANIELA
AMELIA
KAMILA
BRONISŁAWA
LUCYNA
ALINA
ANTONINA
LIDIA
CZESŁAWA
REGINA
LEOKADIA
HENRYKA
MIROSŁAWA
MARIOLA
ŁUCJA
SABINA
WIOLETTA
NIKOLA
DARIA
MILENA
CECYLIA
MICHALINA
BOGUMIŁA
OLGA
FRANCISZKA
EUGENIA
ANGELIKA
ROZALIA
LAURA
BOGUSŁAWA
SANDRA
ILONA
GERTRUDA
MARLENA
KORNELIA
NADIA
ANITA
NINA
ZDZISŁAWA
LILIANA
IGA
JAGODA
MARCELINA
ANASTAZJA
DANIELA
WIOLETA
POLA
KLARA
RÓŻA
ADRIANNA
KARINA
ROKSANA
DAGMARA
MALWINA
SARA
PELAGIA
APOLONIA
ŻANETA
ELIZA
JULIANNA
HONORATA
MIECZYSŁAWA
BERNADETA
ADELA
WALERIA
LUDWIKA
CELINA
TETIANA
NATALIIA
ALDONA
ELEONORA
KAJA
JULITA
OLENA
FELIKSA
IRYNA
WACŁAWA
BLANKA
VIOLETTA
OKSANA
ALFREDA
MATYLDA
MAGDA
DIANA
FELICJA
BRYGIDA
LILIANNA
AURELIA
BOŻENNA
SVITLANA
OLHA
IZABELLA
WALENTYNA
ADRIANA
PAULA
